user_id,sequence,ground_truth
10000165366508846365,P-77380870|P-77380870|P-77380870,P-77380870
100001983550142542,P-96312638|P-96312638,P-96312638
10000254572446767177,P-71427650|P-71427650|P-71427650|P-71427650,P-93595010
1000038499207395055,P-60191202|P-60191202|P-60191202|P-60191202,P-60191202
10000392712164177575,P-89256527|P-89256527,P-86863748
1000045890374323273,P-53561383|P-53561383,P-53561383
10000476652332050126,P-53557691|P-53557691|P-53557691|P-53557691|P-53557691,P-53557691
1000084515364998996,P-60440630|P-60440630|P-60440630,P-60440630
1000094498450606581,P-60440775|P-60440775|P-60440775,P-64335066
10001414465463320437,P-89454882|P-89454882|P-89454882,P-89454882
10001419006898624779,P-102857180|P-102857180|P-102857180|P-102857180,P-102857180
10001487536913292038,P-73570117|P-53561500,P-73816165
10001585351505511636,P-53564551|P-53564551|P-53564551|P-53564551|P-53564551,P-53564551
10001588408815727533,P-89123077|P-89123077|P-89123077|P-89123077|P-89123077,P-89123077
10001595879977281468,P-72659200|P-53562779,P-53562779
1000172427214487298,P-92714370|P-92714370,P-92714370
10001748345246839679,P-89123117|P-89123117|P-89123117|P-89123117|P-90683044,P-53560652
10001779786460671569,P-90235597|P-90235597,P-90235597
1000182567864143294,P-90305141|P-81618780,P-81618780
10001886502624304361,P-53563608|P-53563608,P-53563608
10001979020729986769,P-72238515|P-72238515|P-72238515|P-72238515,P-72238515
10002018663037703999,P-53556507|P-53556507,P-53556507
10002327904983730924,P-53561277|P-53561277|P-53561277,P-53561277
1000248689448956537,P-71747415|P-53565303|P-53562188,P-53562188
10002597464487059648,P-53564861|P-53564861|P-53564861|P-87089821,P-87089821
10002717282666873350,P-68224740|P-68224740,P-68224740
10002747409188359639,P-87028880|P-87028880,P-87028880
10002808851609435051,P-80166284|P-80166462|P-53563894|P-53563894,P-80166149
10002832456566197747,P-53561204|P-53561204|P-53561204|P-53561204,P-53561164
10002834603196063505,P-86188267|P-86188267,P-86188267
10003005370587579630,P-96312629|P-96312629,P-96312629
10003008935997183462,P-89314057|P-89314057|P-89314057,P-89314057
10003090793019191046,P-89786152|P-53561961|P-53561961,P-53564571
10003152882460106522,P-53552322|P-89174919,P-53561310
10003501309929648620,P-81100592|P-81100592|P-71747367|P-81100592|P-79497067|P-53560871|P-79735178,P-79496283
10003522889444155813,P-89779108|P-89779108,P-89779108
10003658816560596941,P-59883883|P-59883883,P-59883883
10003708108407971486,P-72413941|P-72413941,P-72413941
10003714974255730372,P-53564517|P-53564517,P-53564517
10003928493798286808,P-53561310|P-53561310|P-53561310,P-53561310
1000398673021133028,P-53560393|P-53560393|P-53560393|P-53560393|P-53560393,P-53560393
10004132462845319929,P-53557240|P-53557240|P-53557240|P-53557240|P-53557031|P-53557240|P-53557240|P-82916962,P-53557240
10004415284096167999,P-61983453|P-61983453|P-63106962|P-79496511,P-79496511
10004431924152774418,P-89260753|P-89260753|P-89260753,P-89260753
10004480534701161628,P-53560954|P-53560954,P-53560954
1000463331396329529,P-68658872|P-68658872|P-68658872|P-80166462|P-80166462|P-80166284|P-80166284,P-68224658
10004673060817005364,P-90290550|P-95408669,P-95408669
1000473748598302499,P-93595010|P-95909062|P-85713685|P-89479017,P-89495467
10004754198419938526,P-53552338|P-53552338,P-53552338
10004754485506723734,P-79500657|P-79500657|P-79500657,P-79500657
10004859322492869806,P-104165055|P-87028880|P-104170566|P-96247382|P-96974908|P-96974908|P-87028880|P-98827760|P-71320752|P-87028880|P-87028880|P-87028880|P-87028880|P-87028880|P-87028880,P-87028880
10004912141921632759,P-86637770|P-86637770|P-89105065|P-93300105,P-59080279
10004942567707021844,P-87986304|P-87986304,P-87986304
10005082029499297760,P-53564203|P-53564203,P-53564203
10005446410928466605,P-90521038|P-90521038,P-90020043
10005497137532601864,P-53564898|P-53564898|P-53564897|P-53564897|P-61983428|P-61983428|P-53564209|P-53564213|P-53564636|P-53564671|P-79125917|P-61983428|P-81088990|P-53563349|P-53564852|P-53563343|P-53563343,P-53564636
10005527570644882479,P-53560393|P-86840309|P-86840309|P-89045330|P-89045330|P-86840309,P-86840309
1000564221041478698,P-85340614|P-59307715|P-93299948,P-59307715
10005748142683231422,P-90528798|P-90528798,P-90528798
10005816834352262913,P-53557691|P-53557691,P-53557691
10005849709990361416,P-89173846|P-89173846,P-90226769
10005874032615966421,P-71747367|P-81100592|P-81100422|P-91994084|P-53560907|P-61983440|P-61983440,P-61983440
10005913746404395754,P-94220569|P-94220569|P-94220569|P-73570117|P-83731539|P-89786145|P-89786145|P-89779123|P-89779123|P-89779123|P-89779137|P-89786145|P-68224514|P-68224514|P-94220569|P-94220569|P-94220569|P-94220569|P-94220569|P-53564400|P-89779123|P-89779123|P-89779123|P-89779123|P-89779123|P-94220569|P-89779123,P-94220569
10005916926277356509,P-89881098|P-89881098|P-89881098|P-89881098|P-89881098|P-89881098|P-89881098,P-89881098
10006199049513875917,P-89101304|P-89101304|P-89101304|P-89101304|P-77324471,P-77324471
10006256178801496,P-89477352|P-89516503|P-89477352|P-89478168|P-93485440|P-93485391|P-89454882|P-89495519|P-89454933|P-89494311|P-83875472|P-83875797|P-89478168|P-93485440,P-89477352
10006293551039220670,P-90543849|P-90543849,P-90534639
1000632983202819762,P-85707098|P-85707098|P-85707098|P-85707098|P-85707098,P-85707098
10006514255373144921,P-85674743|P-85674743|P-85674743,P-85674743
10006588801864235826,P-89786158|P-89786158,P-89786158
